Question,Category,Frequency
Какие факторы влияют на ваше решение об уходе?,Заработная плата,109
Какие факторы влияют на ваше решение об уходе?,Карьерный рост,139
Какие факторы влияют на ваше решение об уходе?,Команда,37
Какие факторы влияют на ваше решение об уходе?,Руководство,51
Чем интересна ваша работа?,Атмосфера,107
Чем интересна ваша работа?,Интересные задачи,105
Чем интересна ваша работа?,Команда,127
Что мотивирует вас работать больше?,Атмосфера,33
Что мотивирует вас работать больше?,Заработная плата,147
Что мотивирует вас работать больше?,Интересные задачи,28
Что мотивирует вас работать больше?,Команда,83
Что мотивирует вас работать больше?,Руководство,34
